outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_FABias,l_vta_l_hipp,FA,72,-2.5896,0.0129,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,73,-2.3409,0.02373,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,74,-2.0909,0.04222,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,75,-1.8704,0.06794,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,76,-1.6486,0.1062,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,77,-1.4262,0.16072,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,78,-1.2116,0.23198,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,79,-1.0195,0.31343,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,80,-0.8665,0.39082,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,81,-0.7395,0.46347,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,82,-0.6264,0.53422,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,83,-0.513,0.61046,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,84,-0.4422,0.66046,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,85,-0.397,0.69325,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,86,-0.388,0.69988,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,87,-0.3827,0.70378,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,88,-0.3775,0.70754,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,89,-0.3855,0.70165,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,90,-0.3803,0.70551,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,91,-0.3591,0.72123,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
